dms_orig,dms_dest,sctg2_t,mode_t,tht_22,o1_t,o2_t,d1_t,d2_t,,,
061-Los Angeles CA,041-Phoenix AZ,08-Alcoholic beverages,1-Truck,215.8425,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,09-Tobacco prods.,1-Truck,0.2026,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,10-Building stone,1-Truck,0.0598,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,11-Natural sands,1-Truck,117.7101,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,12-Gravel,1-Truck,63.5513,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,13-Nonmetallic minerals,1-Truck,24.5656,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,15-Coal,1-Truck,0,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,17-Gasoline,1-Truck,0,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,19-Natural gas and other fossil products,1-Truck,483.1644,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,20-Basic chemicals,1-Truck,131.2991,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,21-Pharmaceuticals,1-Truck,7.1908,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,22-Fertilizers,1-Truck,32.1237,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,23-Chemical prods.,1-Truck,114.4081,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,24-Plastics/rubber,1-Truck,265.6097,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,25-Logs,1-Truck,0.0013,61,Los Angeles CA,41,Phoenix AZ,,,
061-Los Angeles CA,041-Phoenix AZ,26-Wood prods.,1-Truck,121.2802,61,Los Angeles CA,41,Phoenix AZ,,,
